id;username;text;created_at;;;;;;;;;;;;;;;;
78;@bakhtiarprasetya2277;Vaksin vaksin tay ajg;2025-06-01T05:35:41Z;;;;;;;;;;;;;;;;
79;@Kawalinabesar;Kenapa ga di uji coba di negara bill gates sono 😂😂 ini mentri omon omon 😂😂😂 vaksin efektif jika sudah dapat dipertanggungjawabkan, nah ini belum dpt dipertanggungkan malah buat kita yg jd kelinci😂😂😂 <br>Satu lg yh.... TBC di negara maju juga ada. TBC ga Mandang lu punya uang atw ga ..... 😂😂😂;2025-05-31T23:28:27Z;;;;;;;;;;;;;;;;
80;@ekaputra9704;Kenapa Ga urusin Buat Pembangkit listrik aja berbasis Nuklir...Sarjana Nuklir kok Jadi Menkes....Kan Tololllllll😂😂😂;2025-05-31T23:25:13Z;;;;;;;;;;;;;;;;
81;@mistergaren;Kocak uyyyyy , erick sama keluarga jokowi , megawati , aguan , 9 naga , semua anggota dpr (wakil rakyat)  , pejabat2 atas di pemerintahan nkri yg duluan dong suntik vaksin baru ini yg dari bill gates , pasti mereka semua cukup buat memenuhi kuota uji coba vaksin tsb;2025-05-31T21:13:19Z;;;;;;;;;;;;;;;;
82;@idhamdream4881;ini bill gates dia pencipta softwere komputer, coy bukan orang medis wkwk;2025-05-31T19:56:51Z;;;;;;;;;;;;;;;;
83;@AbahGedang-u6w;Cing atuh dicoba di papua yanglikingkungana pabeuliyyt sngerweeh anggerweh...;2025-05-31T17:28:29Z;;;;;;;;;;;;;;;;
84;@AbahGedang-u6w;Bagaimana  nasib generasi nanti DNA na jadi kelenci;2025-05-31T16:34:59Z;;;;;;;;;;;;;;;;
85;@AbahGedang-u6w;Yang bener aja boss massa mau dibikin kelinci percobaan;2025-05-31T16:30:00Z;;;;;;;;;;;;;;;;
86;@AndreAja-j6j;Kenapa harus indonesia..yg menjadi uji coba....apakah sebaiknya  vaksin ini di ujicobakan pada ..wakil rakyat..;2025-05-31T16:27:30Z;;;;;;;;;;;;;;;;
87;@nachen3415;KLO beneran... Kemenkes dan yang bekerja di pemerintahan dulu yang di vaksin... Di siarkan Live kita tunggu lah 2,3bulan apa eveknya. Lahhh baru lah rakyat percaya...😂😅;2025-05-31T16:13:27Z;;;;;;;;;;;;;;;;
88;@ferdichanel_2000;Pembodohan semua;2025-05-31T14:40:34Z;;;;;;;;;;;;;;;;
89;@joedemark9129;JIKA IND NANTI MENJADI DARURAT TBC TAK MENUTUP KEMUNGKINAN AKAN ADA GERAKAN MARAH DARI RAKYAT UNTUK MENUNTUT PRABOWO DILENGSERKAN KRN SUDAH MEMBAHAYAKAN RAKYATNYA SENDIRI;2025-05-31T12:10:50Z;;;;;;;;;;;;;;;;
90;@GALUNK_GIBAM;Kebodohan berbalut perlindungan.<br>Kepentingan berbalut perhatian.<br>Entah kata kata apa lagi yg cocok untuk menggambarkan aturan kebijakan yg dikeluarkan orang bodoh bertopeng sains.<br>Sudahilah arogansi pemaksaan kehendak mu.<br>Bukan cuma kau yg pintar dan merasa paling benar.<br>Jangan hanya karena kau terletak pada kekuasaan lantas hanya otak akalmu yg berfungsi waras.<br>Demi memuaskan dan mendapatkan cuan dari tagihan neraka(bill gates),kau korbankan rakyat mu.;2025-05-31T10:46:13Z;;;;;;;;;;;;;;;;
91;@ummip.a.z239;Dicoba dulu untk menteri kesehatan,  seharusnya pejabat pejabat dulu baru rakyat .;2025-05-31T09:37:40Z;;;;;;;;;;;;;;;;
92;@ADFSOUNDSITEM;Menkesnya kan udah dapat uang saku dari pencipta vaksin😂😂😂😂 jadi lebih semangat dong kerjanya😂😂😂<br><br>Kami rakyat kecil ngk butuh vaksinn bosss..... butuh saya lapangan kerja,an bosssss.....   orang miskin sakit bukan karna firus booss..  tapi kerna ngk punya fulusss  makannya ngk seberapa mulusss gitu bosss😢;2025-05-31T09:34:19Z;;;;;;;;;;;;;;;;
93;@TuanKrab77;Menkes n klrganya yg di uji coba dl vaksinnya;2025-05-31T07:45:00Z;;;;;;;;;;;;;;;;
94;@adetaopikhidayatulrohman6841;Dibayar berapa pak;2025-05-31T04:12:58Z;;;;;;;;;;;;;;;;
95;@sfy-f1k;TOLAK VAKSIN  MEREKA MAU MEMBUNUH UMAT ISLAM, PERANG SEKARANG BUKAN PERANG TERBUKA, INGAT ITU...!!!!!  mereka beragam dalih, covid yg lalu sdh banyak korban jadikan itu pelajaran, karna vaksin tsb tdk mempan, mereka merekayasa utk.lebih cepat menghabisi manusia;2025-05-31T01:56:53Z;;;;;;;;;;;;;;;;
97;@adisalbini5579;Buat temen temen rakyat Indonesia yang bisa boboin tanpa menyentuh orang ini mesti dibobok manis kan selamanya supaya rakyat Indonesia selamat dari vaksin kejahatan yg sangat bengis untuk menghabisi rakyat Indonesia;2025-05-30T08:39:09Z;;;;;;;;;;;;;;;;
98;@adisalbini5579;Orang ini harus dibikin bobok manis pules selamanya baru rakyat Indonesia selamat dari tumbal pesugihan orang ini dan teman-temannya para pejabat elit yg haus akan uang uang nyawa rakyat yg ditumbalkan;2025-05-30T08:32:47Z;;;;;;;;;;;;;;;;
99;@niekdowersingin9696;Ya tes aja sama yang beneran kena TBC. Jangan semua rakyat yang divaksin;2025-05-30T07:45:16Z;;;;;;;;;;;;;;;;
100;@niekdowersingin9696;Bapak menteri aja dulu sama keluarganya yang divaksin.;2025-05-30T07:44:18Z;;;;;;;;;;;;;;;;
101;@angguntriyono7120;Preeeeetttt....;2025-05-30T07:23:00Z;;;;;;;;;;;;;;;;
102;@nurlailarakhmansyah7059;Hoi, menkes. Sok tau pulak kau tentang penyakit. Berapa duit yg kau terima?;2025-05-30T07:15:53Z;;;;;;;;;;;;;;;;
103;@HotmaritoSihombing;Menkes nya aja duluan di vaksin;2025-05-30T06:17:06Z;;;;;;;;;;;;;;;;
104;@florianamaria8859;Mentri kesehatan seharusnya orang kesehatan.karna paham dunia kesehatan.;2025-05-30T04:40:43Z;;;;;;;;;;;;;;;;
105;@abdulsyakur361;<b>فَبِمَا  نَقْضِهِمْ  مِّيْثَا قَهُمْ  وَكُفْرِهِمْ  بِاٰ يٰتِ  اللّٰهِ  وَقَتْلِهِمُ  الْاَ نْبِۢيَآءَ  بِغَيْرِ  حَقٍّ  وَّقَوْلِهِمْ  قُلُوْبُنَا  غُلْفٌ   ۗ بَلْ  طَبَعَ  اللّٰهُ  عَلَيْهَا  بِكُفْرِهِمْ  فَلَا  يُؤْمِنُوْنَ  اِلَّا  قَلِيْلًا</b><br><br>“Maka, (Kami hukum mereka) karena mereka melanggar perjanjian itu dan karena kekafiran mereka terhadap keterangan-keterangan Allah, serta karena mereka telah membunuh nabi-nabi tanpa hak (alasan yang benar), dan karena mereka mengatakan, Hati kami tertutup. Sebenarnya, Allah telah mengunci hati mereka karena kekafirannya, karena itu hanya sebagian kecil dari mereka yang beriman,” (QS. An-Nisa’ 4: Ayat 155);2025-05-30T03:13:40Z;;;;;;;;;;;;;;;;
107;@kasmirunbudidaak7736;gak heran semua disetting kok<br>tipi tipu.;2025-05-30T02:01:10Z;;;;;;;;;;;;;;;;
110;@atmasaried;Jangan jadikan rakyat Indonesia sebagai kelinci percobaan Pak. Tuhan melindungi bangsa ini dari segala rencana jahat;2025-05-30T01:25:29Z;;;;;;;;;;;;;;;;
111;@parningotansimbolon7146;Perlu di waspadai dgn vaksin TBC yg baru akan dilaksanakan ini, sebelum nantinya terlanjur di Vaksin..;2025-05-30T01:05:14Z;;;;;;;;;;;;;;;;
112;@segahrusdianto4740;Kita dijadikan kelinci percobaan bill gate dg vaksin TBC;2025-05-29T23:44:18Z;;;;;;;;;;;;;;;;
113;@nasirsinaga5414;Tuhan ENGKAULAH  yang melindungi kami dari semua kejahatan ini semuanya kami serahkan kefalam kuasa TANGANMU  amin;2025-05-29T23:37:58Z;;;;;;;;;;;;;;;;
114;@nasirsinaga5414;KEJAHATAN MEDIS;2025-05-29T23:34:33Z;;;;;;;;;;;;;;;;
115;@aguskagawa4572;Bpk menkes yg di vaksin dulu aja dechh;2025-05-29T22:38:20Z;;;;;;;;;;;;;;;;
116;@dothat8054;He is Playing GOD😢;2025-05-29T21:23:52Z;;;;;;;;;;;;;;;;
117;@retno4221;Wahwahhh...vaksin ap lg yg akan DIMUNCULKAN ?????;2025-05-29T15:42:05Z;;;;;;;;;;;;;;;;
118;@baschono6582;Membunuh secara halus... Padahal mati hidup itu takdir tuhan;2025-05-29T14:59:14Z;;;;;;;;;;;;;;;;
119;@johanessambuaga;Menteri yang lebih pintar dari menteri amerika yang tolak vaksin;2025-05-29T13:16:16Z;;;;;;;;;;;;;;;;
121;@Akunaing93;Gw sih ogah 😂😂😂;2025-05-29T12:19:36Z;;;;;;;;;;;;;;;;
122;@andisumantri2598;Kenapa tidak di trail di america malahan di indonesia hatus lebih waspada ada misi apakah ini ke rakyat indonesia;2025-05-29T11:40:41Z;;;;;;;;;;;;;;;;
123;@andisumantri2598;Gara2 tbc itu pak menteri akibat rakyatnya banyak pikiran yg di buat oleh para pejabat yg korupsi sehingga rakyat yg merasakan penderitaannya ,negara kita harus nya kaya kalau tidak di koruptor ingat itu intinya vaksin covid juga di korupsi;2025-05-29T11:35:19Z;;;;;;;;;;;;;;;;
124;@kobotbejat9447;kalian adalah pahlawan kemerdekaan jika bisa meletakan lidah bgs enam meter dari tubuhnya;2025-05-29T11:03:13Z;;;;;;;;;;;;;;;;
125;@marcelt75;Menteri Kesehatan adalah Antek2 Elite Global. Saya lebih percaya ibu Siti Fadilah dan Bp.Dharma Pongrekun.;2025-05-29T10:56:08Z;;;;;;;;;;;;;;;;
126;@noviwonk3389;Pa mentri dulu d coba d vaksin mau;2025-05-29T10:43:29Z;;;;;;;;;;;;;;;;
127;@michaeldaud4326;SECARA LANGSUNG MEREKA MEMBUNUH KITA SECARA PERLAHAN😢<br>DI U.S SAJA DI UJI COBAKAN KEPADA RELAWA 3 ORANG SELAMA 3 TAHUN<br>DAN MEREKA PANTAU, KALO KALO VAKSIN INI TIDAK SESUAI DENGAB TUBUH 3 RELAWAN INI..;2025-05-29T09:33:09Z;;;;;;;;;;;;;;;;
128;@israelsimanjuntak4913;Hitung Menkes yang bodoh.....10 orang meninggal permenit seluruh Indonesia itukan gak jadikan suatu yang luar biasa .. Jangan ditakut-takuti oleh orang lain demi tujuan2 jahat mereka... orang meninggal akibat celaka mungkin lebih dari 10 orang per menit seluruh Indonesia. Lalu apakah semua kendaraan kita tiadakan saja....??? 🤦🤦;2025-05-29T09:23:07Z;;;;;;;;;;;;;;;;
129;@muhamadyasin4353;Tolak .kalau buat jadi kelinci percobaan suruh aja para mentri dan keluarga nya..keluarga wowo .wiwi .gibran anggota DPR..kan dia takut sama TBC.;2025-05-29T07:34:16Z;;;;;;;;;;;;;;;;
130;@Lerus444;Menkes duluan vaksin menjadi contoh buat masyarakat. Biar masyarakat mengikutinya.;2025-05-29T06:41:19Z;;;;;;;;;;;;;;;;
131;@bethokbethok2330;Hai menkes dapat berapa juta dolar kamu dari orang kaya si bill...  <br>Demi jadi kerbau peliharaan barat <br>Rakyat di korbankan.;2025-05-29T04:43:28Z;;;;;;;;;;;;;;;;
132;@Fauzanmemetv;Bisa ga di coba dlu di institusi kemenkes itu sendiri termasuk mentri n jajaran nya semua, terus pegawai negeri semua instansi seluruh indonesia n juga seluruh wakil rakyat termasuk presiden juga;2025-05-29T03:46:07Z;;;;;;;;;;;;;;;;
133;@yuliantirahimah1998;Perhatikan juga lingkungan hidupnya...😢 , klo bisa bantu buat ngerombak lingkungan hidupnya biar menjadi lingkungan yg sehat...sygnya aku gk bisa bantu krn aku orng menengah k bawah...😢;2025-05-29T03:21:36Z;;;;;;;;;;;;;;;;
134;@Luculucu4n;India saja menolak vaksin ini,ko kita mau..;2025-05-29T02:35:57Z;;;;;;;;;;;;;;;;
135;@marau753;Pa Menkes mungkin Tuhanmu  itu vaksin;2025-05-29T01:09:45Z;;;;;;;;;;;;;;;;
136;@Purunamas_Sound_Therapy;di vietnam, keturunan penerima vaksin, banyak menderita autisme. waktu tahun 2000-2001 kerja sama dengan bill gates.;2025-05-29T00:57:37Z;;;;;;;;;;;;;;;;
137;@RiyantiUly;Dulu terpakas ikut vaksin covid...justru sekarang saya gampang sakit..kalo sakit pilek bisa berbulan2😌;2025-05-28T23:25:10Z;;;;;;;;;;;;;;;;
138;@AchmadFauzi-z8b;Rakyat ga perlu vaksin.silakan makan sendiri tuh vaksin;2025-05-28T23:04:56Z;;;;;;;;;;;;;;;;
139;@SihonoSihono-jn5xg;Keluarga mentri kesehatan aja yg disuntik vaksin tbc;2025-05-28T22:48:29Z;;;;;;;;;;;;;;;;
