id;username;text;created_at
34;@AhmadHasibuan-u4d;kemenkes dulu yg di uji coba vaksin nya;22/05/2025 17:58
35;@kunsanusi4108;Cara penularan TBC diantara keluarga miskin khususnya. Apakah Pemerintah sediakan anggaran utk cegah  anggota keluarga  pasien dari kemungkinan tertular ?;22/05/2025 17:18
36;@kunsanusi4108;Pak Menkes vaksin yg sudah ada puluhan tahun berapa persen keampuhannya ?<br>Berapa keampuhan vaksin dari Gates yg sdh diuji fi negara lain ? Berikan faktanya dong.;22/05/2025 17:12
37;@LambeBening;Ibu Siti Fadilah hrs nya yg cocok jadi menkes rakyat Indonesia;22/05/2025 15:08
38;@LambeBening;Uji coba itu dengan hewan pak, jangan manusia di buat uji coba.;22/05/2025 15:07
39;@fikrimust3192;Itu cuma narasi,, toh datanya blm tentu seperti itu;22/05/2025 14:30
40;@SUSANTIGOZALI;Teliti dulu secara clinical science..... apa isi vaksinnya dan efek sampingnya .... pak Menteri.<br>Jangan mau menjadi kelinci percobaan, pak. <br>- Kalau mau uji coba, sebaiknya ke negara yang warganya miskin tapi anaknya banyak seperti India, Bangladesh (tempo hari Bill Gate juga mau uji coba dengan mengirim nyamuk di Bali untuk uji coba juga).<br><br>Hati2, kuatir ada udang dibalik batu, pak;22/05/2025 13:42
41;@yoskai71;Warga harus waspada terhadap Virus Buatan yg di sebarkan menjadi pandemi..Kalau tersebar ..maka muncul Vaksin dan obatnya .semua itu projek kejar Cuan.É????è¨???ç??è¨;22/05/2025 12:44
42;@caswardi;Suruh aja pak mentri dan keluarganya yang jadi kelinci percobaan, jangan kami jadikan kelinci percobaan;22/05/2025 12:10
43;@ivanfawzi9940;lo aja sni gue suntik dluan itu vaksin , orang2 pada nolak lo malah ngejual negara sama rakyat nya;22/05/2025 11:02
44;@BambangSuryanto-q5y;Menteri bisnis;22/05/2025 10:11
45;@vintagecaraudio;Maaf, saya tidak akan tertipu olehmu...;22/05/2025 08:21
46;@vintagecaraudio;"<a href=""https://www.youtube.com/watch?v=d9CShDimWHU"">https://www.youtube.com/watch?v=d9CShDimWHU</a>";22/05/2025 08:16
47;@vintagecaraudio;"<a href=""https://www.youtube.com/watch?v=d9CShDimWHU"">https://www.youtube.com/watch?v=d9CShDimWHU</a>";22/05/2025 08:16
48;@vintagecaraudio;KOK SAYA NGGAK PERCAYA OMONGANMU ...... SAMA SEKALI..!!!!!!;22/05/2025 08:15
49;@ahmedalgozali2823;Agenda de popolasi sudah mau dilakukan di Indonesia... Melalui vaksin... Wahai seluruh rakyat Indonesia???????? sadarlah.. Jangan mau  anak 2x kita, keluarga kita jadi kelinci percobaan ayo kita tolak agenda dajjal ini.;22/05/2025 07:42
50;@aprialissoeharto;covid itu bisa dikendalikan bukan karna vaksin nya tapi karna tubuh sudah terbiasa teman saya dikampung lansia maupun anak muda tidk ada yang vaksin tidak ada yang kena covid , saya dua kali vaksin covid 2 kali pula kena covid ,;22/05/2025 06:26
51;@samsulvnm;Data 100.000 korban TBC cuma tulisan bisa dibuat dg mudah oleh Menkes,terus kita diwajibkan percaya???orang tolol aja yg percaya DATA.;22/05/2025 00:50
52;@samsulvnm;"Mentri kesehatan dg IDInya cari duit tambahan,gajinya kurang,TNI&amp;POLRI segera menyusul????????????";22/05/2025 00:44
53;@indonesiamerdeka8639;ini orang sangat berbahaya di nusantara jangan percaya omongan menkes ini;22/05/2025 00:38
54;@NurJani-x6k;Penduduk indonesia th1970 130 juta tapi sekarang sudah 280.juta yang mati sama yang lahir banyak yg mana;22/05/2025 00:04
55;@NurJani-x6k;Tolak tolak bohong;21/05/2025 23:57
56;@tatitati3593;Dicoba dulu sama Kel menteri kesehatannya,,baru kerakyatnya ,,bisnis owh,, bisnis;21/05/2025 23:49
57;@ErickLanta;Sepertinya menkes dapat keuntungan dengan ada nya trial ke 3 tbc di Indonesia <br>Waktu trial kedua  di afrika ternyata daya sembuh nya 50É?? dan itu tidak memenuhi standar dari kesehatan medis  yg seharusnya 60É??keatas;21/05/2025 23:36
58;@muhammadfikrialim5135;Revolusi sih harusnya, kacau sudah negara ini;21/05/2025 22:52
59;@adeskan1;Stroke mencapai angka 300rb meninggal pertahun atau 3xlipat dr TBC, kenapa dibilang paling tinggi?;21/05/2025 22:35
60;@adeskan1;oalah pak menteri yang mengajukan??;21/05/2025 22:28
61;@PutriTajir;Enkes Tolol;21/05/2025 22:16
62;@andigembes1460;Ngedabrussssssss....;21/05/2025 22:06
63;@mitaa6158;Percaya dama bu Sit Padilah;21/05/2025 21:33
64;@angakhoo9218;Bacoooooot ????;21/05/2025 17:14
65;@dianjihan-i7f;DI INDONESIA KALO ORANG PENTING YANG NGOMONG WALAUPUN BOHONG DAN ORANG GAK PERCAYA PUN PEMERINTAH TETEP JALAN DAN TUTUP KUPING DARI KELUHAN MASYARAKAT???≠;21/05/2025 15:45
66;@odettezilong2671;Saya sangat setuju diadakan vaksin di Indonesia ...jadi tinggal cari relawan yg terkena tbc utk melihat apakah vaksin nya manjur .<br>Intinya jangan berpikir negatif tetapi ambil positif nya utk kepentingan masyarakat Indonesia ini yg paling banyak menderita tbc .mohon kesadarannya pak buk;21/05/2025 15:34
67;@roynaldirualembaleme5143;Lebih percaya Pak Dharma Pongrekum daripada bapak ini;21/05/2025 14:06
68;@MrDSF-eh9cu;Nga deh vaksin amrik buat sakit bapak gua bangsat dari sehat jadi lemah apalagi bilbil kasih vaksin nga jelas, mending elo urusin yang kena tbc deh bukan yang sehat;21/05/2025 12:46
69;@Suharbegono;Temanku meninggal habis divaksin;21/05/2025 12:00
70;@murtado22;Vaksin aja seluruh pejabat ,jngn  rakyat...;21/05/2025 11:36
71;@beautycare1590;Para dokter aja dulu buat kelinci percobaan;21/05/2025 11:03
72;@SandySandy-u3z8j;Suruh aja debat sama ibu Fadilah sufari , ini konspirasi ulung cari uang;21/05/2025 10:27
73;@warnawarniomal3219;Hati hati dgn menteri ini, Prabowo kenapa orang ini nga diganti ya ? takut ya ????ü???ü???ümacan sdh tua.;21/05/2025 08:46
74;@nyiipeh8084;Sok atuh bapak dulu dan keluarga nya;21/05/2025 08:41
75;@nyiipeh8084;Yg byk gelandangan di Amerika, uji coba di sana aja;21/05/2025 08:40
76;@ibumardiyah1058;?ù???ù???ù???ù???ù?®-19, ?ù???ù?¨?ù???ù???ù???ù?? ?ù?è?ù?´?ù??..... ?ù???ù???ù???ù?ê?ù???ù???ù?¨?ù?ü?ù?¨?ù?? ?ù???ù?¨?ù???ù???ù?¨?ù?? ?ù?è?ù?¨?ù???ù???ù?¨ ?ù???ù???ù?ç?ù?¨?ù???ù?? ?ù?Å?ù???ù???ù???ù??;21/05/2025 06:22
77;@RahmadOke158;Tak masuk akal kata kata Menkes ini;21/05/2025 02:03
78;@MP-yk8rd;UJI COBA DULU KE  PAK MENKES DAN KELUARGANYA, KELUARGA PRESIDEN DAN WAPRES DAN KELUARGA NYA. ANGGOTA DPR DAN ANGGOTA MPR ,PEJABAT NEGARA;21/05/2025 00:26
79;@ikmalmaulana9243;Uji coba lah dulu ke seluruh petugas tenaga medis,supaya tenaga medis sehat tidak terkena TBC ????.;21/05/2025 00:00
80;@MdxDriverStory;Rosi BAHAN PERTANYAAN NYA KURANG MANTEP .. KASIH PERTANYAAN NYA YANG BERKELAS .. KENAPA GAK DI NEGARA NYA ? KENAPA HARUS DI INDONESIA.. KNAPA INDONESIA GAK BISA MENOLAK ? HADEUUH;20/05/2025 23:01
81;@MdxDriverStory;MENKES WKWKWKWKWKWKWKW .... INI KONTEK NYA UNTUK UJI COBA KE MASYARAKAT INDONESIA .. KALAU VAKSIN YANG UDAH TERUJI ITU YA UDAH GAK MASLAAH UNTUK DI COBA .. NAH INI DI UJI DISINI ..KENALA GAK DI UJI DI NEGARA NYA ... LOGIKA GAK DI PAKE ..MENTERI ANEH;20/05/2025 22:59
82;@mukhtar6016;"Budi Gunawan Sadikin adalah anteknya yahudi, konspirasi bisnis vaksin dgn mengorbankan rakyat Indonesia, menkes bgs tidak akan berani berdebat dg mantan Menkes dokter Padilah supari &amp; konjen pol pangrekun, rakyat Indonesia selalu dijadikan kelinci percobaan oleh bilget dg alasan kesehatan, tapi yg sebenarnya adalah konspirasi bisnis, dan menguasai suatu negara dg cara yang licik";20/05/2025 21:55
83;@jeanchaniago;Indonesia ada wakil rakyat di DPR biar mereka dulu yg coba rakyat tinggal menonton.;20/05/2025 20:47
84;@MuhammadNaim-wt7bf;"TBC ( Ta&#39; Bangkana Cipuru&#39;na ) ????????";20/05/2025 20:28
85;@ridwanrusli8839;RAKYAT KAN SUDAH ADA WAKIL RAKYAT, SILAHKAN DI UJI KE SELURUH ANGGOTA DPR TK1,TK2 DAN KELUARGANYA + ANGGOTA DAN KELUARGA INSTITUSI POLRI + SELURUH MENTRI, WAKIL MENTRI, PEGAWAI DAN KELUARGANYA.<br>ITU SUDAH LEBIH DARI CUKUP UTUK UJI COBA, JANGAN RAKYAT DI JADIKAN UJI COBA.;20/05/2025 19:59
86;@eedmrp;Undang Pa Dharma Pongrekun, Ibu Siti Fadilah, drh. Indro Cahyono utk berdiskusi dgn MenKes;20/05/2025 18:59
87;@sriyono5558;"Sudah tau bpk ini sebetul nya bukan ahli kesehatan tp org bisnis apa perbank kan hati&quot; mati itu urusan allah bukan menkes";20/05/2025 17:55
88;@ferdiari6310;"Pernah dengar istilah <br>&quot;tiba masa tiba akal &quot;?..";20/05/2025 17:32
89;@KENSHUUSULIT89;Jika Ternyata tidak ampuh maka para petinggi negara lah yang selamat dari vaksin itu. Begitu kah? Para petinggi negara juga harus membuat janji untuk menjamin kesehatan dan keselamatan penerima vaksin. Jangan bilang aman tapi belum menjamin jika ada efek buruk nya. ???????è;20/05/2025 16:50
90;@solikhin-uu8dj;mentri2 nya dan pejabat nya saja yg di vaksin ,masyarakat ga perlu vaksin masyarakat perlu makan yg baik;20/05/2025 16:49
91;@opazhesklinn1994;Tolakkkkkk vaksiiinnnnn. Hati2;20/05/2025 15:11
92;@SumarlinJayakusuma;Pentingnya  pemimpin yang jujur,pinter, pemberani, tidak mudah dikendalikan oleh orang asing,taat kepada allah tidak akan pernah menzolimin rakyatnya;20/05/2025 14:51
93;@rizalsri6790;Alasannya hsanya pembenaraan,sebelum ini tdk pernah menjadi topik bahwa tbc salah satu pembunuh terbanyak .;20/05/2025 14:44
94;@hestitrader1971;Harusnya yg pertama kali diuji cobakan vaksin pak mentri kesehatan kemudian seluruh jajaran pemerintahan... mau nggak tuh mrk... jangan rakyat yg dijadikan kelinci percobaan... penjelasan pak menkes itu boong semua;20/05/2025 14:38
95;@aseppartiem;uji coba d amerika aja si..napa hrus indo wkwkwk;20/05/2025 14:29
96;@aseppartiem;anggota dpr aja dlu pak yg jd uji coba.. mereka kan wakil rakyat.. kenapa hrus rakyat yg d korbankan;20/05/2025 14:26
97;@m.agungprakoso1803;"BAHAYA ! PENJAJAHAN MEDIS OPERASI FILANTROPI GLOBALIS <br><br>Vaksin TBC Itu Uji Coba / Uji Kendali Populasi?, TBC(Tuberkolosis) Memang Masalah Serius Di Indonesia Apalagi Papua. Tp, Kenapa Indonesia Jadikan Lokasi Uji Coba?, Negara Dengan Populasi Besar dan Literasi Medis Rendah Sering Dipilih Karna ; Biaya Murah, Penduduk Mudah Dipengaruhi Narasi &quot;Filantropi&quot; , Regulasi Longgar/Bisa Diatur Lewat Pejabat Tinggi korup Kaya Indonesia. Uji Coba Medis Sama Dengan Jalur Belakang Untuk Uji Klinis Besar-Besaran Tanpa Dipertanggung Jawabkan. <br><br>Bill Gates Foundation Adalah Pion Filantropis Arsitek Agenda Populasi, Gates Adalah Wajah Publik Dari Kompleks Farmasi Global Yg Terhubung Dengan WHO, GAVI, dan Wellcome Trust. Ada Banyak Kritik Keras Soal Proyek Vaksin HPV dan Polio Di India dan Afrika Yg Menimbulkan Efek Samping Serius, Sebagian Tanpa Izin Jelas Dari Partisipan. Tujuan Mereka Bukan Semata &quot;KESEHATAN&quot; Tapi, Kumpulan Data Genetik, Eksperimen Bioteknologi Didunia Nyata, Pengaruh Terhadap Kebijakan Negara-Negara Berkembang. &quot;Jika Kamu Mengontrol Kesehatan Rakyat, Kau Mengontrol Masa Depan Mereka&quot;.<br><br>Peran Elite Lokal Adalah Gerbang Masuk Neokolonialisme Biologis, Terlihat Jelas Kacung-Kacung Elite Nasional Berjabah Tangan Dengan Agen Elites Globalis. Prabowo Mewakili Elite Nasional Yg Mebuka Pintu Atas Nama &quot;KERJASAMA&quot; dan &quot;KEMANUSIAAN&quot;. Ini Bukan Kerjasama Setara, Tapi Pola Klasik Pusat Kekuasaan Global Menguji Teknologi Dipinggiran Kerajaan Romawi Dalam Hal Nusantara. <br><br>Narasi Filantropi = Trojan Horse Filantropi Gaya Bill Gates Bukan Amal Tapi Itu Investasi Sosial - Politik, Lewat Topeng Yayasan Dia Bisa , Masuk Ke Sistem Pendidikan, Mengontrol Arah Riset Kesehatan, Menentukan Arah Kebijakan Publik Tanpa Jabatan Resmi.<br><br>Indonesia Harus Menolak Menjadi Kelinci Percobaan. Masyarakat Berhak Atas ; Penjelasan Penuh dan Terbuka Soal Vaksin Yg Diujikan, Akses Data Klinik Tahap Awal, Hak Untuk Menolak Tanpa Tekaanan/Manipulasi. Aktivis Dan Rakyat Sadar Harus Bersuara, &quot;Kitong Bukan Laboratorium Manusia&quot;.<br><br>Vaksin TBC Konvensional : BCG (Bacillus Calmette-Guerin), Sudah Digunakan Sejak 1921. Vaksin Baru ( Misalnya : M72/AS01E Yg Didukung Gates Foundation ) Adalah Vaksin Berbasis Rekombinan Protein Dan Adjuvan Sintetis, Dikembangkan Oleh GSK dan Aeras ( Didanai Gates ). Tujuannya Diklaim Sebagai Peningkatan Efikasi Terhadap Strain TBC Modern, Namun : &quot;Semakin Kompleks Kandungan, Semakin Tinggi Potensi Efek Sistemik dan Imunologis&quot;.<br><br>Berdasarkan Laporan Uji Klinis Pengawsan Pasca-Penyuntikan Pada Vaksin Eksperimental TBC.<br>Efek Samping ; <br>1. Reaksi Lokal (Pembengkakan Ekstrem, Nyeri Lengan, Kemerahan Yg Lebih Luas Dibanding BCG Biasa<br>2. Demam Tinggi (Tanda Respon Imun Sistematik Yg Berlebihan<br>3. Gangguan Neurologis (Sakit Kepala Hebat, Kejang, Potensi Ancephalitis Ringan)<br>4. Autoimun (Ada Laporan Imun Tubuh Menyerang Jaringan Paru/Paradoxical Worsening)<br>5. Potensi Kerusakan Genetik (Jika Adjuvan/Teknologi mRNA/DNA terlibat (Meskipun Belum Diklaim Resmi Untuk TBC, Resiko Genotoksisitas Meningkat<br>6. Kematian Mendadak Sangat Jarang (Tapi Muncul Dalam Konteks Uji Coba Tidak Terawasi di Afrika/India), Dalam Proyek Vaksin HPV Yg Juga Didanai Gates Foundation<br><br>Resiko Khusus Untuk Indonesia, Genetik Populasi Asia Tenggara Belum Diuji Sekomprehensif Afrika/Eropa Dalam Uji Klinis Sebelumnya. Potensi Efek Samping Berbeda dan Lebih Berbahaya Karena Reaktifitas Imun Berbeda. Kondisi Sanitasi dan Gizi Masyarakat Yg Buruk Bisa Memperbesar Efek Samping. <br><br>Jika Vaksin TBC Globalis Ternyata Menggunakan :<br>1. Vaksin mRNA/DNA Berbasis Vektor ~ Kemungkinan Besar Dimasukkan Dengan Teknologi Transgenetik/Editing Imun<br>2. Adjuvan Seperti AS01 Atau Cpg-1018 ~ Dikenal Meningkatkan Respon Imun Tapi Juga Meningkatkan Risiko Gangguan Autoimun Jika Tidak Seimbang <br>3. Kendala Transparansi Data Uji Klinis Sering Tidak Dipublikasikan Penuh<br>4. Indonesia Sebagai Tempat Uji Jarang Punya Kontrol Independen Untuk Audit Efek Samping<br>5. Media Dikendalikan Narasi &quot;Kemanusiaan&quot;, Bukan Kedaulatan Medis <br><br>Kesimpulan : Vaksin TBC Besutan Jaringan Globalis Berpotensi Membawa Resiko Efek Samping Sistematik, Neurologis, dan Genetik. Apalagi Jika Dikembangkan Dengan Teknologi Eksperimental. Ditambah Potensi Neokolonialisme Medis, Indonesia Sedang Berada Diujung Tanduk Sebagai Ladang Uji Manusia.<br><br>Bagikan Sa Pu Coretan Ini Supaya Para Dokter, Nakes Dan Masyarakat Tidak Memakai Vaksin Ini Buat Para Penderita TBC, Karena Jika Terjadi Kita Bertanggung Jawab Atas Nyawa Orang Itu <br><br>Hormat";20/05/2025 11:18
98;@SumarjoJoe;Fokus ganggur biar gak di Vaksinasi <br>Biar mereka yang di Vaksinasi <br>Indonesia lawak lawak;20/05/2025 11:03
99;@kampungdurianruntuh2600;Kalau pemerintah setuju pemerintah saja yang vaksin untuk uji coba,,, jangan korban masyarakat untuk jadi kelinci percobaan;20/05/2025 06:30
100;@belolangi5500;Setahu saya penyakit TBC itu sdh bisa disembuhkan dengan obat dari Puskesmas ....gratis lagi. Mungkin Menkes belum tahu itu,  krn dia keahliannya  bukan kesehatan. Menkes itu keahliannya Teknik Nuklir   jadi Menkes...Bill Gates itu keahlian IT jadi urusin  Vacsin. Jadi mereka berfokus pada Bisnis...mencari keuntungan sebesar-besarnya. Mereka berdua itu elit global;20/05/2025 04:34
101;@dellavrill4877;Uji coba pertama vaksin tbc  menkes serta jajarannya..;20/05/2025 01:36
102;@faizalbintan8547;COBAIN KE ASN DULU KE KPLADIBAS DPRD MPR DAN BUOATI DAN GUBERNUR DANTERUS SELURUH PEGAWAI NEGERI KOK RAK YST PULAK YANG MAU KAU KORBANKAN UJI COBA;20/05/2025 00:33
103;@faizalbintan8547;SEBAIKNYA DI COBAKAN DULU KE ASN DAN SELURUH PEGAWAI KESEHATAN DI COBA AYOLAH DI SUNTIKKAN KE KALIAN DULU;20/05/2025 00:31
104;@NurKomaro;Menit 3.55 ini bukan uji coba tapi istilahnya clinical tryle... KAU mau bodohi rakyat dg istilah bahasa asing emangnya cuman RAIMU yg bisa bahasa asing CUOKK!!!;19/05/2025 23:58
105;@herbalmanjakaniaceh6215;TBC penyakit orang susah .... Kenapa g perbaiki saja ekonomi rakyat miskin ... Karena pola hidup dan lingkungan kurang baik plus kurang gizi ....;19/05/2025 23:57
106;@dtzeeor8558;Saya setuju kl yg di Vaksin buat Uji Coba para Ternak Mulyono aja;19/05/2025 23:44
107;@dtzeeor8558;Kl orang G meningggal Ntr Negara Penuhh dong pak.kwkkwwk sbnrya bnyk Orang Pinter tp Rewell sih...Program Ketahanan Pngan aja Masih Jalan tp FAKTANYA ttp bnyk yg mati Kelaparann..;19/05/2025 23:42
108;@Erdo_erdo;?ù?´?ù?¨?ù???ù?ê?ù?? ?ù???ù?¨?ù?? ?ù???ù???ù???ù?è?ù???ù?ç?ù??... ?ù?´?ù?¨?ù???ù?ê?ù??... ?ù?´?ù?¨?ù???ù?ê?ù??... ?ù???ù???ù?ç?ù???ù?¨ ?ù?´?ù?¨?ù???ù?¨?ù?? ?ù?´?ù?¨?ù???ù?ê?ù??... ?ù?´?ù???ù?? ?ù???ù?¨?ù?è?ù?? ?ù?´?ù?¨?ù???ù???ù???ù?¨ ?ù???ù?¨?ù???ù?¨ ?ù?´?ù?¨?ù???ù?¨?ù??;19/05/2025 22:08
109;@ruang_koe;Pasti dibikin seolah2 TBC sangat mematikan????????halah...lagu lama.biar uangnya bisa cair.;19/05/2025 22:03
110;@SabaSakti;Ak tidak akan mengijinkan anakku jadi kelinci percobaan. Jahat sekali.;19/05/2025 21:52
111;@RusdiRusdi-g7u;"Silat lidah antek asing,rakyat skrg tdk sebodoh sprti kerbau yg dicocok hidung&#39;y.bgmna bngsa ini mau mnjdi macan asia sejati,bila knytaanya mnjdikan diri sbgai budak asing.";19/05/2025 21:35
112;@fitrialya7173;Jadi curiga, apakah itu real dana hibah atau biaya yang dikenakan untuk proses uji coba???? atau jangan jangan,. Itu dana untuk orang yang mau ikut uji coba, tapi disebut sebagai dana hibah agar masyarakat tidak dapat apapun????;19/05/2025 21:08
113;@zarkasih7831;Dagang mulu..rakyat pikirin go;19/05/2025 20:35
114;@qomarudinudin305;Hanya alloh yang bisa bikin sehat alloh maha besar;19/05/2025 20:08
115;@NA0110NO;Gila , efek samping Astrazeneca saja yang memiliki kandungan mercuri  yang menyebabkan pembekuan darah pemerintah gamau tanggung jawab;19/05/2025 18:45
116;@HarjitaHarjita-en6px;Mentri kau aja yang di jadikan percobaan, yang penting massa jangan mau.;19/05/2025 18:44
117;@KlayJo-c4l;Jadi teladan dong Pak, umumkan menteri kemenkes, pejabat eselon dan semua keluarganya akan sukarela menjadi percobaan vaksin ini????;19/05/2025 18:18
118;@menggo-menggo;Kenapa gak BGS ini ya yg duluan?;19/05/2025 17:43
119;@menggo-menggo;Ini menteri titipan pihak global . <br>Ini nyata konspirasi global,<br>Bener kata pak dharma pongrekun terkait masalah ini, dan bang mongol stres pernah katakan bulan mei 2025 ada peluncuran vaksin, untuk mengontrol people.;19/05/2025 17:42
120;@muhammadnur5068;Mahasiswa harus turun ke jalan ini;19/05/2025 17:14
121;@RAJUDIN-oh9ls;Dajjal;19/05/2025 17:04
122;@gbgebs;The next level human traffic;19/05/2025 17:02
123;@yadiganteng8456;Hati hati sampean pak rakyat udah muak sama yg nama nya vaksin pak rakyat bergerak indonesia bergolak pak;19/05/2025 15:32
124;@yadiganteng8456;Makanya gak usah terima berita luar;19/05/2025 15:29
125;@imamsjafii9427;Lebih afdol vaksin TBC tsb diuji cobakan terlebih dahulu kepada Menkes sekeluarga  termasuk anak cucunya dg cara transparan disaksikan oleh tokoh masyarakat yg independen ( tidak mau terima suap );19/05/2025 14:50
126;@alvianbahari1911;Antek-antek asing;19/05/2025 14:48
127;@empontheasadiah4700;Bapak Menkes mau ga jadi orang pertama yg divaksin TBC produk BillGates?????;19/05/2025 13:52
